did,louvain_community
did:plc:npmoerrzaqzrlpvu3yu6i4pi,1
did:plc:hfunbop47sm2azdbajfvnf4g,1
did:plc:tcs4pjryaxzccvo2a7ylgmsi,1
did:plc:yqfmy2p54vqgekrcz5zzykhl,6
did:plc:ehnv6xi4qb5nhffmroalveeo,1
did:plc:woph5pj32fzbuicun4r53g43,1
did:plc:al3mrgr2igqnqhdkqvdwouev,1
did:plc:jap4fkprwjzgvh43jlp62pmh,1
did:plc:inu7p5ls5ltvlkpesj3qzcxh,1
did:plc:ino5jojviampvldwhtrdjxr7,1
did:plc:otenm3fqynhdyhfom4rrmtoq,1
did:plc:kwhnnsltalfxmbnmrnp65bii,0
did:plc:thyxeqhjprc7wkdqjeakp74f,1
did:plc:lfw5ikcuja3sjug2jehfdbdm,1
did:plc:b6nazhaza26jp3eog5ue4ipt,1
did:plc:qqnyamsjitxnahe5yoe5lfag,1
did:plc:36z475fuzunx5lye5f25dir4,1
did:plc:s6zgs7hnr4zjufsmt254o4r7,1
did:plc:2dwxs24526yfvmydneeu63ea,1
did:plc:5k6jjnczbuw7bkcl4skkzzow,1
did:plc:bruveqh5khxdsd3qtx33ok54,1
did:plc:3h55uhjkxzg5znstpdyshoq7,1
did:plc:z5epzmu2fuh4d36poh5wnxnt,1
did:plc:sekzutdsvhs4i6aafvlcj7v3,1
did:plc:fnaiorqt4sz35rprce52ia63,1
did:plc:gtu7ntvnshzmsclrjvtshf3m,1
did:plc:eqt2ncufjxbqgowjf4hdi2ff,1
did:plc:m3ly5zbj6zcby64eoyqn3u3i,1
did:plc:touv7uc4vhnwrfn7n7xxk6hl,1
did:plc:r5ofoghdcbtjqiujqpvja4uh,1
did:plc:tywkpd4s5utvhnucftqtsjyc,1
did:plc:y5f5pym22pcxpoc6bdgdyr6i,1
did:plc:gslrbg7et2wxhlhrkqtwlm22,1
did:plc:codxbnqvzymrsh3n5yfbcfa6,1
did:plc:lf44yuqfyi3ilxxfqudsqqc2,1
did:plc:qigftpfjt2mrkq23skrcuedw,1
did:plc:77lswp42lgjyw36ozuo7kt7e,1
did:plc:u3qtwr3xni67et44ip5vov2z,1
did:plc:y6dhlhtsl4ene4blwtrhtv6n,1
did:plc:z72i7hdynmk6r22z27h6tvur,2
did:plc:4xdx4plh6gjhhxvwbsrby4wp,4
did:plc:cfwhcdq4rupwnc2b7nzkdh3b,0
did:plc:a6oy25hms4qov5guqhv2u6mv,1
did:plc:w7jirivxkdpu4gvmdgsito3k,1
did:plc:ccpxhvpzvepeg4l3la6wydhd,1
did:plc:sayeevaewowlo5wcdinp2mqy,4
did:plc:zdemq4wjs6xb3sz2odkaw6ox,1
did:plc:j77brb2byawwdaqljkgj2eyp,1
did:plc:bpe2cboy6nffv4jd7v7uzyzi,1
did:plc:ddlptxzkzbknqkts3obmwhow,1
did:plc:j2htjnav3e2tb3wvkgn5xqiy,6
did:plc:nxlh63mkcieh3tjloibre7hp,5
did:plc:hyb3mo6i5uhlidnnefhxqeh3,1
did:plc:7lgfgjhtwgdvokakkiz2fsaa,1
did:plc:mjqetcrkxiwbat2bjkegg4ru,1
did:plc:mxrgqon5uyzfydczat2yx3yo,1
did:plc:cgbhqgzudl2txhrmylpqyjf6,1
did:plc:zno5v25lkwgv43xov75fv6gz,1
did:plc:pnmcfac4zxc3s4jpaifhfrvd,1
did:plc:5emw6c47mnufusdusy564nmw,1
did:plc:7sdsxqcziwqsrhmbuetj7ari,4
did:plc:bev7swnxdqiutawrp22zhohf,7
did:plc:y2ewvsyfgz54llqf6vrifklu,6
did:plc:l5n5q4is7sgdq3kycdpjfw6m,1
did:plc:xg2qinbccgztyclmju4wefrn,1
did:plc:yyjm6azqeob2dqgn47e4g6uf,1
did:plc:leewy4zzpqsl72ogi35dd4ar,1
did:plc:oybebze4fqk6ex5kzm5zcjqu,1
did:plc:hg2u5e2c7t5eftgdutxfn6gu,3
